date,title,url
20 Mar 2011,Speech to the People of Rio de Janeiro,speeches/barackobama/barackobamalibyanationspeech.htm
21 Mar 2011,Speech on Latin American to the People of Chile,speeches/barackobama/barackobamaamericanenergysecurity.htm
28 Mar 2011,Speech to the American People on Libya,speeches/barackobama/barackobamafiscalpolicy2011.htm
30 Mar 2011,On American Energy Security at Georgetown Univ.,speeches/barackobama/barackobama2012prescandidacy.htm
13 Apr 2011,Speech on Improving Fiscal Policy,speeches/barackobama/barackobamabirthcertificatespeech.htm
26 Apr 2011,Announcement of 2012 Presidential Candidacy,speeches/barackobama/barackobamaalabamatornado.htm
27 Apr 2011,Speech on Release of Official Certification of Birth,speeches/barackobama/barackobamamiamidadecommencement.htm
29 Apr 2011,Remarks on the Tornado Devastation in Alabama,speeches/barackobama/barackobamawhitehousecorrespondentsdinner2011.htm
29 Apr 2011,Commencement Speech at Miami Dade College,speeches/barackobama/barackobamaosamabinladendeath.htm
30 Apr 2011,White House Correspondents Dinner Speech,speeches/barackobama/barackobamafortcampbellkytroops.htm
01 May 2011,Speech Announcing the Death of Osama Bin Laden,speeches/barackobama/barackobamabookertwashington.htm
06 May 2011,Speech to Troops at Fort Campbell,speeches/barackobama/barackobamamiddleeastpolicy.htm
16 May 2011,Commencement Speech at Booker T. Washington HS,speeches/barackobama/barackobamaciaheadquarters.htm
19 May 2011,On American Diplomacy in the Middle East,speeches/barackobama/barackobamabenjaminnetanyahujointpress.htm
20 May 2011,Speech to Intelligence Community at CIA Headquarters,speeches/barackobama/barackobamaaipacpc2011.htm
20 May 2011,Joint Press Conference with Benjamin Netanyahu,speeches/barackobama/barackobamabritishparliament.htm
22 May 2011,American-Israel Public Affairs Policy Conference,speeches/barackobama/barackobamajoplinmemorial.htm
25 May 2011,Speech to the British Parliament,speeches/barackobama/barackobamadefensepersonnel.htm
29 May 2011,Speech at the Memorial for Joplin Tornado Victims,speeches/barackobama/barackobamaafghanistanwardrawdown.htm
30 May 2011,Department of Defense Personnel Announcement,speeches/barackobama/barackobamacarnegiemellonrobotics.htm
22 Jun 2011,National Speech on Afghanistan War Troop Reduction,speeches/barackobama/barackobamajobgrowthpresser.htm
24 Jun 2011,Speech at Carnegie Mellon's Robotics Center,speeches/barackobama/barackobamadeficitreductionplan.htm
29 Jun 2011,Presser on Congressional Action to Promote Job Growth,speeches/barackobama/barackobamadebtapprovalstmt.htm
25 Jul 2011,Speech to the Nation on the Budget and Debt Ceiling,speeches/barackobama/barackobamadebtcompromise.htm
31 Jul 2011,Statement on the Debt Compromise Agreement,speeches/barackobama/barackobamaamericanlegion2011.htm
02 Aug 2011,Statement on the Approved Debt Compromise,speeches/barackobama/barackobamajointsessionjobs.htm
30 Aug 2011,To the American Legion Conference in Minnesota,speeches/barackobama/barackobamaeconomicplandebtreductionbill.htm
08 Sep 2011,Joint Session of Congress Speech on Economy and Jobs,speeches/barackobama/barackobamaunlibya.htm
19 Sep 2011,Speech on Economic Growth and Deficit Reduction,speeches/barackobama/barackobamaunitednations66.htm
20 Sep 2011,Speech on High-Level UNGA Meeting on Libya,speeches/barackobama/barackobamamlkmemorialdedication.htm
21 Sep 2011,United Nations 66th Session General Assembly Speech,speeches/barackobama/barackobamaqaddafideath.htm
16 Oct 2011,Speech at the MLK Memorial Dedication,speeches/barackobama/barackobamaaustralianparliament.htm
20 Oct 2011,Speech on the Death of Muammar Qaddafi,speeches/barackobama/barackobamatribalnationsconference.htm
21 Oct 2011,Speech on Ending the War in Iraq Responsibly,speeches/barackobama/barackobamaosawatomieeconomy.htm
16 Nov 2011,Speech to the Australian Parliament,speeches/barackobama/barackobamaweeklyaddress17dec2011.htm
02 Dec 2011,Speech to the Tribal Nations Conference,speeches/barackobama/barackobamamilitarystrategychanges.htm
06 Dec 2011,Speech on the Economy at Osawatomie High School,speeches/barackobama/barackobamahousingfallschurch.htm
17 Dec 2011,Weekly Address Honoring Military Servicemembers,speeches/barackobama/barackobamaveteransjobscorps.htm
05 Jan 2012,Speech on Military Defense Strategic Review,speeches/barackobama/barackobamairaqwarveterangala.htm
24 Jan 2012,Third Presidential State of the Union Speech,speeches/barackobama/barackobamaaipac2012.htm
01 Feb 2012,Address on Housing at Falls Church,speeches/barackobama/barackobamahankukuniversity.htm
03 Feb 2012,Address on Veterans Jobs Corps,speeches/barackobama/barackobamagasoilsubsidies.htm
29 Feb 2012,Iraq War Veterans and Families Gala Toast,speeches/barackobama/barackobamaapluncheon.htm
04 Mar 2012,To the American-Israel Public Affairs Committee,speeches/barackobama/barackobamanationalholocaustmemorialmuseum.htm
26 Mar 2012,Hankuk University Address,speeches/barackobama/barackobamawhitehousecorrespondentsdinner2012.htm
29 Mar 2012,Speech on Repealing Oil and Gas Subsidies,speeches/barackobama/barackobamabarnardcollegecommencement.htm
03 Apr 2012,Speech at an Associated Press Luncheon,speeches/barackobama/barackobamashimonperesemedaloffreedom.htm
