date,title,url
2013-09-24,On Health Care at WJClinton Global Initiative,./Data/barackobamaclintonglobalinitiative.txt
2013-10-02,Government Shutdown Statement,./Data/barackobamagovernmentshutdown.txt
2013-10-21,Affordable Care Act Website Issues Address,./Data/barackobamaaffordablecareactwebsiteproblems.txt
2013-11-11,Veterans Day Address,./Data/barackobamaveteransday2013.txt
2013-11-14,Affordable Care Act Changes Press Conference,./Data/barackobamaaffordablecareactchanges.txt
2013-11-23,Iran Accord Statement,./Data/barackobamairanaccordstatement.txt
2013-12-05,"On the Passing of Nelson ""Madiba"" Mandela",./Data/barackobamamandelapassing.txt
2013-12-10,Address at the Public Memorial for Nelson Mandela,./Data/barackobamanelsonmandelamemorial.txt
2013-12-20,End of Year Press Conference,./Data/barackobamafinal2013presser.txt
2014-01-17,On Proposed Changes to US Intelligence Programs,./Data/barackobamasignalsintelreview.txt
2014-02-06,Speech at the 62nd National Prayer Breakfast,./Data/barackobama2014prayerbreakfast.txt
2014-03-26,Speech to European Youth in Belgium,./Data/barackobamaeuropeanyouth.txt
2014-04-10,Civil Rights Summit Keynote Speech,./Data/barackobamaaustincivilrights.txt
2014-04-17,Press Conference on Affordable Care Act and Ukraine,./Data/barackobamapressconference04-17-14.txt
2014-04-24,Joint Presser with Japan Prime Minister Shinzo Abe,./Data/barackobamapmabejapanjointpresser.txt
2014-04-27,Young Leaders Town Hall Malaysia,./Data/barackobamaYSEALIMalaysia.txt
2014-04-28,Joint Presser with Philippine President Aquino,./Data/barackobamabenignoaquinojointpresser.txt
2014-04-29,Fort Bonifacio Address,./Data/barackobamafortbonifacio.txt
2014-05-03,White House Correspondents Dinner Speech,./Data/barackobamawhitehousecorrespondentsdinner2014.txt
2014-05-21,On Misconduct Allegations at the VA,./Data/barackobamavamisconductallegations.txt
2014-05-27,Statement on Afghanistan,./Data/barackobamastatementonafghanistan.txt
2014-05-28,U.S. Military Academy Commencement Address,./Data/barackobamawestpointcommencement2014.txt
2014-05-30,Presser on VA Department Misconduct,./Data/barackobamaveteransaffairsmisconduct.txt
2014-06-04,Polish Freedom Day Anniversary Address,./Data/barackobamafreedomdaypoland.txt
2014-06-06,70th Anniversary of D-Day Address,./Data/barackobamadday70.txt
2014-06-30,Immigration Reform and Border Security,./Data/barackobamaimmigrationbordersecurity.txt
2014-07-18,On the Downing of Malaysian Airlines Flight 17,./Data/barackobamaflightmh17.txt
2014-07-21,SSG Ryan Pitts Medal of Honor Ceremony Speech,./Data/barackobamaryanpittsmedalofhonor.txt
2014-08-01,Presser on Executive Action and Foreign Policy,./Data/barackobamaeconomyforeignpolicy.txt
2014-08-07,On Air Strikes and Humanitarian Effort in Iraq,./Data/barackobamairaqairstrikehumanitarianeffort.txt
2014-08-09,Update on Air Strikes and Humanitarian Aid in Iraq,./Data/barackobamairaqairstrikehumanitarianeffortupdate.txt
2014-08-14,"On Iraq and Ferguson, Missouri Situation",./Data/barackobamafergusonmissouri.txt
2014-08-28,"Press Statement on the Economy, Iraq, and Ukraine",./Data/barackobamairaqukraine.txt
2014-09-03,Joint Presser with Toomas Ilves,./Data/barackobamajointpressertoomasilves.txt
2014-09-03,Address to the People of Estonia,./Data/barackobamaestoniapeople.txt
2014-09-10,Speech to the Nation on ISIL,./Data/barackobamaisilspeechtonation.txt
2014-09-16,Speech on Ebola Response at the CDC,./Data/barackobamaebolacdc.txt
2014-09-24,United Nations 69th Session General Assembly Speech,./Data/barackobamaunitednations69.txt
2014-09-24,United Nations Security Council Remarks,./Data/barackobamaunitednationssecuritycouncil2014.txt
2014-09-25,United Nations Meeting on Ebola Speech,./Data/barackobamaunitednationsebola.txt
